question,token_count,length_category
"What activities or interests did Michelle Mateo share or engage in between April 13, 2020, at 07:26:00 and April 14, 2020, at 07:26:00?
A. Michelle Mateo shared an image of a person holding a book.
B. Michelle Mateo is starting a potted herb garden.
C. Michelle Mateo recommended Nara for its friendly deer and Todai-ji Temple.
D. Michelle Mateo added ""The Power of Now"" by Eckhart Tolle to her reading lis",5231,0k-8k
"What activities related to books, photography, or technology did Michelle Mateo engage in between April 13, 2020, at 07:26:00 and April 14, 2020, at 07:26:00?
A. Michelle Mateo added ""The Power of Now"" by Eckhart Tolle to her reading list.
B. Michelle Mateo shared an image of a person holding a book.
C. Michelle Mateo had a VR session for her psychology studies.
D. Michelle Mateo uses a vintage camer",5231,0k-8k
"What notable personal and professional activities did Michelle Mateo engage in between March 7, 2020, and April 13, 2020?
A. Michelle Mateo gave a presentation at the psychology conference.
B. Michelle Mateo shared an image of a garden with a blue shed and a path.
C. Michelle Mateo joined a psych book club.
D. Michelle Mateo made an Italian meal for her friends",5231,0k-8k
"If Akib did not ask Muhhamed who they would choose to switch lives with between 06:01:30 and 06:07:40 on January 12, 2024, what notable interactions or personal experiences did Akib have between 06:01:30 and 06:07:40 on January 12, 2024?
A.Akib ordered food delivery to combat his unusual hunger.
B.There is no answer.
C.Akib doubted his ability to lead a country effectively.  
D.Akib considered switching lives with a powerful figure to enact positive global chang",69646,64k-128k
"What running-related activities and achievements did Emily engage in or share between August 10, 2022, at 10:11 AM and August 13, 2022, at 7:06 AM, if Emily shared tips about running with a group on August 14, 2022?
A.Emily led a running group in the park.  
B.Emily ran 6 miles on a trail.  
C.There is no answer.
D.Emily completed a 10K rac",17666,16k-32k
When did Elise share a photo of an A380 parked at an airport terminal?,40919,32k-64k
"What was the third activity Matt did with his new basketball after joining the team?
A.Playing basketball with his team.  
B.Playing basketball with his friends.
C.Participating in a basketball tournament.  
D.Shooting hoops at a local park",29727,16k-32k
"What did Paul take a photo of during a Dream Theater concert in just 21 years after 12:00 am, March 01, 2023?  
A.Paul took a photo of a band performing on stage at the Dream Theater concert.  
B.Paul took a photo of the crowd at the Dream Theater concert during their most popular song.
C.Paul took a photo of the stage at the Dream Theater concert during their opening song.  
D.Paul took a photo of the lead singer playing a guitar solo during the concer",23264,16k-32k
"Which of the following two durations is longer? *Duration 1:* Between Samantha painted a cute cat design on her T-shirt. and Samantha went hiking at a nearby national park last month. *Duration 2:* Between James joined a hiking group. and Samantha watched the documentary ""Cowspiracy"" last week.
A. Duration 1 is longer.
B. Duration 2 is longer.
C. The two durations are approximately the same length.",19307,16k-32k
"What interactions or concerns did Nebraas have regarding health or personal matters between 21:37:36 and 21:41:41 on January 18, 2024, if Nebraas did not slip on ice and hurt their back?
A.Nebraas was worried about Moon adjusting to the new home.  
B.Nebraas experienced fatigue from their earlier run.  
C.There is no answer.
D.Nebraas discussed dietary plans with Vaness",70805,64k-128k
"How much time passed from Roy comparing life to discovering new things and facing challenges until he switched careers from nursing to cartography? (Please answer using natural time expressions that combine appropriate units based on duration length, e.g. ""2 months 4 days"" for 64 days or ""64 days"" for shorter spans)",25300,16k-32k
When is Cheryl taking coding classes?,25103,16k-32k
When did Grace perform in front of a big crowd during the dance competition?,17621,16k-32k
"What was the duration from the time Charlie started restoring a classic car until Doug owned an old gramophone? (Please answer using natural time expressions that combine appropriate units based on duration length, e.g. ""2 months 4 days"" for 64 days or ""64 days"" for shorter spans)",39334,32k-64k
"What was the duration between Nate owning a bookcase filled with books and Joanna receiving a letter from someone who was comforted by her blog post? (Please answer using natural time expressions that combine appropriate units based on duration length, e.g. ""2 months 4 days"" for 64 days or ""64 days"" for shorter spans)",34684,32k-64k
"What personal experiences and interests did Dave explore between October 15, 2023, and November 1, 2023, if he did not attend a conference in Detroit during that period?
A.Dave admires the architecture and history of Boston.
B.Dave restored a Ford Mustang from a junkyard.  
C.Dave explored culinary arts in Boston.
D.Dave completed restoring his car to pristine conditi",35602,32k-64k
What time is Gina attending Jon's dance event next month?,21052,16k-32k
"Below are 8 facts. You need to sort these facts in chronological order. Requirements: Your output format must be numbers enclosed in parentheses without any other symbols or whitespace. For example: (1)(5)(2)(7)(3)(8)(6)(4)

(1) Amy recommended Old Man's Cave in Hocking Hills for beginners.
(2) Amy hiked Mount Adams.
(3) Amy had a picnic with friends at a scenic spot last weekend.
(4) Amy’s goal for the half marathon is to have fun and finish strong.
(5) Amy went on a hike and picked up trash with her pals.
(6) Amy hiked up a whole mountain.
(7) Amy hiked up a volcano a week ago.
(8) Amy hiked the Mount Rogers Trail in Virginia.
",17666,16k-32k
"For Fact1: Audrey’s dogs were calm after grooming. and Fact2: Audrey’s second pet is playful., which one happened earlier?  
A. Fact 1 happened earlier.  
B. Fact 2 happened earlier.  
C. They happen at almost the same time.",39124,32k-64k
"What was Daniel Parker's most recent activity before 2:52 pm, April 13, 2020?  
A.Daniel Parker completed a photography workshop.
B.Daniel Parker joined a psych book club.  
C.Daniel Parker attended a sustainable farming workshop.
D.Daniel Parker made sauerkraut through fermenting vegetables",5231,0k-8k
"What was John's third initiative to support veterans in 2023?
A.Participating in a marching event for veterans' rights.
B.Organizing a job fair for veterans seeking employment.
C.Initiating a petition to support veterans' benefits.  
D.Setting up a 5K charity run for veterans and their families",39257,32k-64k
"What notable suggestions or activities was Nicolas involved in between January 13, 2024, 06:38:40 and January 14, 2024, 06:24:43?
A. Nicolas expressed frustration with retail work and suggested retail workers should be allowed one fist fight per month or career.
B. Nicolas is helping a friend who is a manager at Starbucks.
C. Nicolas suggested vacationing in Alaska.
D. Nicolas does not have insuranc",85757,64k-128k
"What was the time interval between Muhhamed reflecting on video games and older people's perceptions of them and comparing Batman Arkham Asylum's combat to Spider-Man PS4's combat? (Please answer using natural time expressions that combine appropriate units based on duration length, e.g. ""2 months 4 days"" for 64 days or ""64 days"" for shorter spans)",52354,32k-64k
"Which of the following two durations is longer? *Duration 1:* Between Akib ordered an Italian sub for lunch. and Fahim Khan saw a polar bear at a zoo when he was younger. *Duration 2:* Between Akib was out during the day due to good weather. and Fahim Khan attended a funeral.
A. Duration 1 is longer.
B. Duration 2 is longer.
C. The two durations are approximately the same length.",80897,64k-128k
When did Muhhamed’s sister participate in a high school play?,52354,32k-64k
"Below are 8 facts. You need to sort these facts in chronological order. Requirements: Your output format must be numbers enclosed in parentheses without any other symbols or whitespace. For example: (1)(5)(2)(7)(3)(8)(6)(4)

(1) Melanie recently purchased pink sneakers for running.
(2) Melanie has a family that includes children.
(3) Melanie shared a photo of a dirt road surrounded by trees with yellow leaves.
(4) Melanie made a plate in pottery class yesterday.
(5) Melanie signed up for a pottery class.
(6) Melanie went to the beach with her kids.
(7) Melanie went on a trail walk with her child.
(8) Melanie shared a photo of a sign posted on a door stating that someone is not being able to leave.
",26398,16k-32k
When did Samantha throw a birthday bash for Luna last weekend?,19307,16k-32k
"What was the second event Akib completed after returning from visiting family in January 2024?
A.Observing the iguana's preferred sun spots.  
B.Discussing the rapid development of technology.
C.Connecting security cameras to monitor the iguana.  
D.Planning a corporate strategy meeting",80897,64k-128k
"Which of the following two durations is longer? *Duration 1:* Between Liam is writing new songs. and John played a Beatles tune on his bass guitar last weekend. *Duration 2:* Between John noticed Liam’s red scarf. and Liam's new apartment is closer to his band's rehearsal studio.
A. Duration 1 is longer.
B. Duration 2 is longer.
C. The two durations are approximately the same length.",12889,8k-16k
"At the same time as Ned has a ticket from a long trip to the theater, what is John's current occupational status?
A.John is a baseball coach.
B.John is retired.
C.John is a bakery owner.  
D.John is a community theater actor",24255,16k-32k
"For Fact1: Megan’s non-profit partners with local organizations on clean-up drives. and Fact2: Jeff takes hot baths with essential oils to relax., which one happened earlier?  
A. Fact 1 happened earlier.  
B. Fact 2 happened earlier.  
C. They happen at almost the same time.",27287,16k-32k
"What significant personal experiences or activities involving Melanie occurred between October 7, 2023, and October 16, 2023, if Melanie's son was not okay after the accident?
A.Melanie has two children who were scared but reassured after the accident.
B.Melanie’s son underwent emergency surgery following the accident.
C.Melanie has three children who were scared but reassured after the accident.  
D.Melanie’s children were not involved in the accident and remained unharmed",26398,16k-32k
"Which of the following two durations is longer? *Duration 1:* Between Paola was preparing to go to a friend’s house. and Kevin is exploring options for graduate school in law. *Duration 2:* Between Paola does not have personal experience with specific hiking spots. and Kevin made food with his mom a week ago.
A. Duration 1 is longer.
B. Duration 2 is longer.
C. The two durations are approximately the same length.",40099,32k-64k
"Below are 8 facts. You need to sort these facts in chronological order. Requirements: Your output format must be numbers enclosed in parentheses without any other symbols or whitespace. For example: (1)(5)(2)(7)(3)(8)(6)(4)

(1) Daniel Parker recommended Costa Rica for volunteering.
(2) Daniel Parker got a promotion.
(3) Daniel Parker started learning Japanese.
(4) Daniel Parker recommends Insight Timer for guided meditations.
(5) Daniel Parker is heading to Yosemite for hiking.
(6) Daniel Parker is reading ""Educated"" and ""The Alchemist"" by Paulo Coelho.
(7) Daniel Parker went on a road trip.
(8) Daniel Parker shared an image of a group of people doing yoga on a beach.
",5231,0k-8k
"When Nicolas ate diner food, what academic obligation was Nebraas fulfilling?
A.Studied to become a doctor.  
B.Attended classes.
C.Worked at a bubble tea shop.  
D.Prepared for midterm exams",92853,64k-128k
When did Alex attend prayer circles and seek support from church friends?,25164,16k-32k
"For Fact1: Doug has a love for classic cars. and Fact2: Charlie has back issues related to car repair., which one happened earlier?  
A. Fact 1 happened earlier.  
B. Fact 2 happened earlier.  
C. They happen at almost the same time.",39334,32k-64k
"What was the next workplace incident Nebraas encountered after adopting their cat Moon?
A.Slipping on ice during work hours.  
B.Setting boundaries with a flirty coworker.  
C.Almost getting into a fight at work.
D.Burning a batch of pastries",70805,64k-128k
"What was Jack's most recent health update after 12:00 am, August 17, 2023?  
A.Jack felt overwhelmed and drained after the incident.  
B.Jack was diagnosed with a respiratory infection.
C.Jack was feeling tired but doing a bit better.
D.Jack was recuperating at home from an injury",26028,16k-32k
"Below are 8 facts. You need to sort these facts in chronological order. Requirements: Your output format must be numbers enclosed in parentheses without any other symbols or whitespace. For example: (1)(5)(2)(7)(3)(8)(6)(4)

(1) Audrey Marn painted a sunset over a lake using watercolor pencils.
(2) Audrey Marn attended a music festival last month.
(3) Audrey Marn started a travel blog focused on Japanese tea houses.
(4) Audrey Marn found the journal design at a stationery store downtown.
(5) Audrey Marn started a bullet journal with a drawing of flowers and leaves.
(6) Audrey Marn has an image of two people hiking up a rocky trail in the woods.
(7) Audrey Marn uses books, language apps, and shows with subtitles for learning.
(8) Audrey Marn and her mom still listen to music and chat about it.
",12394,8k-16k
"What was Nicolas's most recent concern expressed before 11:05 pm, January 12, 2024? 
A.Nicolas expressed concern about the cost of vegan alternatives.  
B.Nicolas expressed concern about the quality of buffet fruit.  
C.Nicolas expressed concern about the expiration dates of condiments.
D.Nicolas expressed concern about the hygiene of food servers",85757,64k-128k
"Which of the following two durations is longer? *Duration 1:* Between Molly focuses on nature and exploration in her art. and Tom took a photograph of a forest with a bench for stargazing. *Duration 2:* Between Molly found some rocks and stayed safe during the sandstorm. and Molly believes storms show nature’s raw power and beauty.
A. Duration 1 is longer.
B. Duration 2 is longer.
C. The two durations are approximately the same length.",22660,16k-32k
"What was Andrew's most recent work-related action after 3:52 pm, July 27, 2023?  
A.Andrew searched for a dog-friendly place.  
B.Andrew took a break from work.
C.Andrew volunteered at a pet shelter.  
D.Andrew received a promoti",39124,32k-64k
"What was the duration between Nate dyeing his hair purple and making colorful bowls of coconut milk ice cream? (Please answer using natural time expressions that combine appropriate units based on duration length, e.g. ""2 months 4 days"" for 64 days or ""64 days"" for shorter spans)",34684,32k-64k
"When Jack has a white wall with black lettering that says ""30 positive suites,"" what concern does he express regarding Ellen's well-being?
A.Jack expressed concern about Ellen’s antique collecting habits.  
B.Jack expressed concern about Ellen’s injury and recovery.
C.Jack expressed concern about Ellen’s ability to return to dance performances.
D.Jack expressed concern about Ellen’s dedication to physical therapy",26028,16k-32k
When did James recommend the Academy of Sciences for its living roof and marine life area?,19307,16k-32k
"At the same time as Elise’s New Year's resolutions include focusing on school and work, what do Kevin’s resolutions prioritize?
A.Kevin’s New Year's resolutions include improving his max bench press.  
B.Kevin’s New Year's resolutions include enhancing his squat performance.  
C.Kevin’s New Year's resolutions include maintaining a high GPA.
D.Kevin’s New Year's resolutions include working on his 5k run tim",38789,32k-64k
"For Fact1: Diana uses online research and reviews to find hiking trails. and Fact2: Megan went on a family road trip to the Grand Canyon in summer 2021., which one happened earlier?  
A. Fact 1 happened earlier.  
B. Fact 2 happened earlier.  
C. They happen at almost the same time.",19803,16k-32k
"What significant personal achievements and activities was Jennifer Lofquist involved in between March 15, 2020, at 09:26:00 and March 23, 2020, at 17:45:00?
A. Jennifer Lofquist got into her dream art school.
B. Jennifer Lofquist had a dream about painting in a garden surrounded by butterflies.
C. Jennifer Lofquist is practicing the Crow pose in yoga.
D. Jennifer Lofquist's artwork was published in a local magazi",12760,8k-16k
"What significant personal events and activities did Ned experience or undertake between January 20, 2023, and February 12, 2023?
A. Ned visited an amusement park in Sinaloa with his kids.
B. Ned’s youngest daughter Lisa turned one.
C. Ned's car stopped working.
D. Ned bought a new car for $20,000",24255,16k-32k
"Which of the following are time expressions mentioned in the context? (Note: There may be one or more correct options. And the time expressions are mentioned directly or indirectly in the context.)
A. 2021
B. April 16, 2020
C. January 31, 2020
D. June 9, 2020",12394,8k-16k
"What significant personal and culinary activities did James undertake between October 12, 2023, and November 4, 2023?
A. James adopted a cat named Whiskers from a shelter.
B. James made vegan sushi and lentil curry.
C. James went on a road trip to upstate NY and visited a wildlife sanctuary.
D. James made tofu stir-fry",19307,16k-32k
"For Fact1: Jennifer Lofquist is taking yoga classes. and Fact2: Sharon Gomes visited the Eiffel Tower last summer and painted it., which one happened earlier?  
A. Fact 1 happened earlier.  
B. Fact 2 happened earlier.  
C. They happen at almost the same time.",12760,8k-16k
"What was the third significant occurrence in Angela's life following her brother's sickness?
A.She had a press conference to discuss her cold cure.  
B.Her coworker Lucas moved for a new job.
C.She bonded with her coworker Lucas over sci-fi books.  
D.Her coworker Lucas received a promotion at work",25513,16k-32k
"Which of the following two durations is longer? *Duration 1:* Between Doug has a collection of vintage music records. and Doug recently took a Chevrolet Impala for a drive. *Duration 2:* Between Doug is learning to play the piano. and Doug is restoring a car.
A. Duration 1 is longer.
B. Duration 2 is longer.
C. The two durations are approximately the same length.",39334,32k-64k
"What was Tiffany's most recent activity related to social media after Tiffany shared an image of a hand holding a letter from NASA?  
A.Tiffany shared a photo of a notebook with a motivational quote.
B.Tiffany shared a photo of an easel with a blank canvas.  
C.Tiffany shared a photo of her new workout routine.
D.Tiffany shared a photo of a painting with a blue and yellow desig",40676,32k-64k
"Which of the following two durations is longer? *Duration 1:* Between Liam is writing new songs. and John played a Beatles tune on his bass guitar last weekend. *Duration 2:* Between Liam is practicing and hustling for more gigs. and Liam is working on promoting the EP and growing the band's fanbase.
A. Duration 1 is longer.
B. Duration 2 is longer.
C. The two durations are approximately the same length.",12889,8k-16k
"What significant personal and creative endeavors was Liam involved in between November 2, 2022, at 08:14 AM and November 5, 2022, at 08:44 AM?
A. Liam practices strength, endurance, and lion dance moves.
B. Liam is working on a guitar project.
C. Liam moved to a new studio apartment in the city.
D. Liam may need help with guitar parts for the songs",12889,8k-16k
"Which of the following two durations is longer? *Duration 1:* Between Alice took a photograph of a band performing on stage. and Margaret painted a sunset over a body of water last week. *Duration 2:* Between Margaret finds nature to be a stress-free escape. and Margaret had a creative weekend with lots of yummy food.
A. Duration 1 is longer.
B. Duration 2 is longer.
C. The two durations are approximately the same length.",20573,16k-32k
"Which of the following two durations is longer? *Duration 1:* Between Liam is writing new songs. and Liam is reading books about music. *Duration 2:* Between Liam is writing new songs. and John played a Beatles tune on his bass guitar last weekend.
A. Duration 1 is longer.
B. Duration 2 is longer.
C. The two durations are approximately the same length.",12889,8k-16k
"For Fact1: Joan volunteered at a food bank. and Fact2: Grace is looking for a book to read., which one happened earlier?  
A. Fact 1 happened earlier.  
B. Fact 2 happened earlier.  
C. They happen at almost the same time.",17621,16k-32k
"What was the third book Fahim Khan started reading after finishing Pachinko?
A.Reading ""Ducks, Newburyport"" by Lucy Ellmann.  
B.Reading ""The Hobbit"" by J.R.R. Tolkien.
C.Reading Stephen King's 11/22/63.
D.Reading ""2666"" by Roberto Bolañ",52354,32k-64k
"Which of the following two durations is longer? *Duration 1:* Between Evan shared news of his marriage with his extended family. and Evan apologized for the incident and the person was understanding. *Duration 2:* Between Evan shared news of his marriage with his extended family. and Evan has a partner who understands him.
A. Duration 1 is longer.
B. Duration 2 is longer.
C. The two durations are approximately the same length.",29268,16k-32k
"Which of the following two durations is longer? *Duration 1:* Between Rosalva Gischer attended coding meetups recently. and Audrey Marn uses books, language apps, and shows with subtitles for learning. *Duration 2:* Between Rosalva Gischer borrowed novels and comics from the library. and Rosalva Gischer started volunteering at a community center teaching coding to kids in need.
A. Duration 1 is longer.
B. Duration 2 is longer.
C. The two durations are approximately the same length.",12394,8k-16k
"What activities was Audrey engaged in between October 18, 2023, at 09:06:00 and October 21, 2023, at 14:13:00?
A. Audrey is researching to find a nice hiking spot for the hike.
B. Audrey donates a portion of her jewelry profits to an animal shelter.
C. Audrey is unboxing packed boxes after moving.
D. Audrey considers herself a doggy mom",39124,32k-64k
"While Ellen's ankle is healing slowly with the help of physical therapy, what career goal and related studies is Jack pursuing?
A.Jack is aiming to become a video game director and studying auction strategies.  
B.Jack is working towards becoming a shift supervisor and studying hospitality management.  
C.Jack is working towards becoming a hotel manager and studying management strategies.
D.Jack is pursuing a career as a travel blogger and studying photography techniques",26028,16k-32k
"Below are 8 facts. You need to sort these facts in chronological order. Requirements: Your output format must be numbers enclosed in parentheses without any other symbols or whitespace. For example: (1)(5)(2)(7)(3)(8)(6)(4)

(1) Evan took the Prius for a long drive to the mountains.
(2) Evan shared an image of a painting of a person on a cliff.
(3) Evan was at the gym recently and is gaining strength.
(4) Evan's painting emphasizes emotional state through expressive brushwork and vibrant colors.
(5) Evan took a photo of a kayak during a camping trip.
(6) Evan emphasized the importance of exercise alongside eating right.
(7) Evan uses a fitness watch to track his health progress.
(8) Evan is on a diet limiting himself to two ginger snaps a day.
",29268,16k-32k
"When Paul is getting into cooking more, what image is Sara sharing?
A.An image of a plate of tacos with a hand holding a lime.
B.An image of a veggie and tofu salad bowl with cherry tomatoes.  
C.An image of a vegetable stir-fry with tofu and soy sauce.
D.An image of a pizza with cheese and spinach in a p",23264,16k-32k
"During the time Jennifer Lofquist is collaborating with her partner on an art show, what activity related to art exploration did Sharon Gomes engage in?
A.Sharon Gomes visited art galleries in Iceland.
B.Sharon Gomes discussed art techniques with the artist.  
C.Sharon Gomes attended a local art fair.  
D.Sharon Gomes attended a watercolor workshop in Paris",12760,8k-16k
"When Muhhamed started playing Control, what was Akib using a GoPro to accomplish?
A.Akib used a GoPro to photograph a frozen waterfall.  
B.Akib used a GoPro to capture underwater footage.
C.Akib used a GoPro to record vibrant reefs.  
D.Akib used a GoPro to film a hiking adventur",69646,64k-128k
"Below are 8 facts. You need to sort these facts in chronological order. Requirements: Your output format must be numbers enclosed in parentheses without any other symbols or whitespace. For example: (1)(5)(2)(7)(3)(8)(6)(4)

(1) Molly focuses on nature and exploration in her art.
(2) Molly is fascinated by desert critters.
(3) Molly took a photograph of a desert with a road and mountains.
(4) Molly encourages Tom to keep visiting natural spots.
(5) Molly opened her art studio yesterday.
(6) Molly took a photograph of a sunset with palm trees and a pink sky.
(7) Tom shares a passion for nature and art with Molly.
(8) Molly is currently painting nature, focusing on leaf patterns and flower colors.
",22660,16k-32k
"What was the first significant achievement Carol's agency accomplished after she started seeking new clients in April?
A.Winning a local business excellence award.
B.Signing a contract with a regional art museum.  
C.Getting a new client, a local art gallery.
D.Landing a client for cartography workshops",25300,16k-32k
"For Fact1: Nebraas is impressed by Vanessa’s discipline for bodybuilding. and Fact2: Nebraas believes food is more important than exercise for health., which one happened earlier?  
A. Fact 1 happened earlier.  
B. Fact 2 happened earlier.  
C. They happen at almost the same time.",70805,64k-128k
"What did Jill's boss do to her in just 16 days after 12:00 am, December 19, 2022?  
A.Jill's boss increased her hours last Monday.
B.Jill's boss reduced her hours last Monday.  
C.Jill's boss offered her a promotion last Monday.
D.Jill's boss changed her clinic role last Monday",23397,16k-32k
"Which of the following are time expressions mentioned in the context? (Note: There may be one or more correct options. And the time expressions are mentioned directly or indirectly in the context.)
A. 2023
B. May 22, 2022
C. May 27, 2022
D. July 21, 2022",37660,32k-64k
When did Vanessa work in a field where she encounters entitled people?,85757,64k-128k
"What notable activities or discussions involving Ned occurred between December 2, 2022, at 19:24 and December 9, 2022, at 21:13, if Ned suggested online parking platforms to John instead of mentioning car dealers or enthusiasts?
A.Ned discussed kitchen gadgets purchased last month with John.  
B.Ned suggested renting a parking spot through a community board.
C.Ned mentioned his wife’s signature cookies might attract customers.  
D.Ned mentioned car dealers or enthusiasts might have ideas about parking spots",24255,16k-32k
"If Michelle Mateo had a VR session for her psychology studies on April 13, 2020, what activities related to books, photography, or technology did Michelle Mateo engage in between April 13, 2020, at 07:26:00 and April 14, 2020, at 07:26:00?
A.Michelle Mateo took a photo at a botanical garden.
B.Michelle Mateo shared an image of a person holding a book.
C.Michelle Mateo shared an image of a garden with a blue shed and a path.
D.Michelle Mateo joined a psych book clu",5231,0k-8k
"Which of the following two durations is longer? *Duration 1:* Between Audrey Marn uses watercolor pencils for painting. and Audrey Marn acknowledged the colors and brushstrokes in the painting ""Serenity in Chaos."" *Duration 2:* Between Rosalva Gischer is starting her own coding studio. and Rosalva Gischer is developing a virtual art gallery app for people with visual impairments.
A. Duration 1 is longer.
B. Duration 2 is longer.
C. The two durations are approximately the same length.",12394,8k-16k
"What has Nebraas adopted in just 14 years after 8:25 am, January 11, 2024?  
A.Nebraas adopted a calico cat named Latte, who is 6 years old.  
B.Nebraas adopted a gray cat named Moon, who is 6 years old.
C.Nebraas adopted a parrot named Sky, who is 2 years old.
D.Nebraas adopted a mixed-breed dog named Steve, who is 4 years old",70805,64k-128k
"For Fact1: Vanessa did not have work on 10.01.2024 and completed a gym session in the morning. and Fact2: Vanessa suggested her boss or personal trainer could help scare the person off., which one happened earlier?  
A. Fact 1 happened earlier.  
B. Fact 2 happened earlier.  
C. They happen at almost the same time.",70805,64k-128k
"What was the third activity Doug engaged in after retiring in March 2022?
A.Visiting Jazz Cafe in Sunset Hills.
B.Attending a classical music concert.  
C.Volunteering at a local shelter.
D.Renewing his car registrati",39334,32k-64k
"While John is busy with school and work, what kind of bedroom setup does Liam have?
A.Liam has a rehearsal setup with amplifiers and instruments.  
B.Liam has a studio setup with a guitar on the wall.  
C.Liam has a recording setup with microphones and mixers.
D.Liam has a cozy bed setup with blankets and pillows",12889,8k-16k
